,imageName,cluster,ecc,sol,cmp,color,spd,per,cellSize
27,02M,3,0.944853454,0.698187809,0.401117262,m,0.313036282,0.228541817,10595
36,02M,3,0.950347079,0.720253415,0.335817827,m,0.304741562,0.398336757,10914
37,02M,3,0.763213115,0.691660827,0.381737147,m,0.527630201,0.11097188,3948
39,02M,3,0.884484219,0.683715384,0.3428577,m,0.311648442,0.35022067,10320
41,02M,3,0.84234843,0.776931581,0.449429908,m,0.321811236,0.071868229,6325
46,02M,3,0.908382236,0.772990886,0.39207617,m,0.216637341,0.103368528,18660
53,02M,3,0.880111195,0.816039014,0.502099815,m,0.215717978,0.235384207,9036
57,02M,3,0.899816166,0.852708058,0.514397512,m,0.36480843,0.096487846,7746
60,02M,3,0.874128269,0.704717139,0.343454589,m,0.195419496,0.151625084,8396
61,02M,3,0.972873114,0.873558648,0.428401881,m,0.333663906,0.697416452,2197
62,02M,3,0.869865659,0.804244385,0.493568987,m,0.576486416,0.228597589,8451
64,02M,3,0.879885246,0.711173498,0.232077711,m,0.336777083,0.169145931,12666
90,02M,0,0.459253098,0.945587259,0.859086093,r,0.225385042,0.7925648,17100
96,02M,0,0.608963205,0.918021398,0.798702349,r,0.188982229,0.23092539,13214
87,02M,1,0.673328148,0.689262473,0.464135941,g,0.373289594,0.105772216,16523
86,02M,2,0.779645875,0.907085816,0.715881769,b,0.171580592,0.132652745,7156
89,02M,2,0.736939581,0.942245588,0.784899548,b,0.24188805,0.635386833,12546
94,02M,2,0.758171455,0.946566524,0.780756045,b,0.24625757,0.488356239,13233
95,02M,2,0.889543374,0.91460769,0.61555114,b,0.43405113,0.489465427,15177
88,02M,3,0.92836802,0.86659112,0.540617422,m,0.280112426,0.110933526,16824
91,02M,3,0.880560362,0.623455993,0.395162543,m,0.402030723,0.11169213,14486
92,02M,3,0.908774712,0.816345571,0.464526441,m,0.262572908,0.210872428,17500
93,02M,3,0.952252654,0.604363363,0.29148918,m,0.745718437,0.152954975,16067
65,M1,0,0.521713058,0.964304647,0.893804057,r,0.398252164,0.130473884,10914
71,M1,0,0.558563815,0.879578474,0.710705202,r,0.611645159,0.131247842,17194
76,M1,0,0.616475744,0.985011933,0.960712148,r,0.461998326,0.155438502,10318
77,M1,0,0.491805716,0.975829022,0.921357274,r,0.369771381,0.07297161,11506
79,M1,0,0.430458881,0.972477825,0.897137129,r,0.245220009,0.055529992,11731
83,M1,0,0.518032303,0.910836117,0.660857835,r,0.305929201,0.207816197,19358
67,M1,1,0.632404612,0.812357173,0.47671231,g,0.343875355,0.096022018,9598
68,M1,1,0.634400877,0.831561323,0.491537625,g,0.315907498,0.125563532,9933
69,M1,1,0.589555928,0.664911409,0.20861675,g,0.37264664,0.255471393,20077
70,M1,1,0.54780148,0.834805024,0.435728266,g,0.470790657,0.097940174,15221
72,M1,1,0.56719928,0.826991565,0.434477966,g,0.617528385,0.208629543,17648
73,M1,1,0.710176312,0.866784967,0.540972918,g,0.604696061,0.115797874,13677
74,M1,1,0.557601405,0.856752263,0.450864882,g,0.670851225,0.048094476,23188
75,M1,1,0.729975445,0.8136326,0.502122821,g,0.424417588,0.190131417,17690
78,M1,1,0.556134063,0.730570914,0.247637743,g,0.349168415,0.061850395,11760
81,M1,1,0.43893287,0.808841024,0.476039956,g,0.409187932,0.124723243,12918
82,M1,1,0.636285507,0.824857426,0.382129366,g,0.298056722,0.200666163,17501
85,M1,1,0.722493055,0.686179954,0.266868601,g,0.410869373,0.125497637,11241
66,M1,2,0.834066763,0.885082122,0.667353124,b,0.310065533,0.209638552,16921
84,M1,2,0.70055221,0.93013044,0.63325912,b,0.504857324,0.070177491,14404
80,M1,3,0.928300809,0.600812754,0.199354979,m,0.275447583,0.09249086,3844
